,Model,Dataset,Repetition,Fold,Accuracy,F1,Recall,Precision
175,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",18,6,0.965,0.9641695702671312,0.965,0.9660443722943725
176,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",18,7,0.955,0.953132793972272,0.955,0.9621946169772256
177,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",18,8,0.965,0.9646878357853969,0.965,0.9663852813852812
178,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",18,9,0.97,0.9697144596952042,0.97,0.9703968253968256
179,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",18,10,0.915,0.9136841856854098,0.915,0.9159969257795344
180,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",19,1,0.97,0.9692664019663454,0.97,0.9715967908902692
181,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",19,2,0.98,0.9798587933247752,0.98,0.9804761904761904
182,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",19,3,0.975,0.9749686834346656,0.975,0.9763852813852816
183,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",19,4,0.965,0.964058615057212,0.965,0.9691511387163562
184,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",19,5,0.96,0.9593021014073646,0.96,0.960180754917597
185,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",19,6,0.975,0.9745236525724332,0.975,0.9757193786605552
186,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",19,7,0.96,0.959129861568886,0.96,0.9596638655462186
187,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",19,8,0.96,0.9596800478879473,0.96,0.9611419853982784
188,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",19,9,0.97,0.9695956354300386,0.97,0.969920634920635
189,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",19,10,0.87,0.8695013024511188,0.87,0.8718077803203661
190,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",20,1,0.95,0.9493655656222452,0.95,0.9530008940335029
191,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",20,2,0.965,0.9647373358348968,0.965,0.9649498746867168
192,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",20,3,0.99,0.9898587933247752,0.99,0.9904761904761904
193,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",20,4,0.965,0.9647373358348968,0.965,0.9649498746867168
194,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",20,5,0.975,0.974865540963102,0.975,0.9752130325814536
195,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",20,6,0.95,0.948985354983952,0.95,0.9526379808216192
